umap1,umap2,metric,quartile
0.33422604,7.8680654,-0.5,2
-1.5534713,10.831501,-0.9,2
-0.9985074,12.336482,0.2,3
0.22161639,13.564063,0.8,3
-0.29570517,8.721807,-2.9,1
-1.4402204,6.6404247,-3.4,1
-2.3986955,11.603113,-0.8,2
-1.6888102,5.69719,-5.0,0
0.7965984,7.6411004,-3.8,0
-2.5100935,13.50083,0.2,3
-0.2582629,12.137405,1.9,3
-0.658222,15.21557,3.0,3
-3.179559,-2.5872395,-3.6,0
-0.3866888,15.37971,3.1,3
-3.8872373,3.3233361,-2.5,1
-2.4251838,12.675026,1.7,3
1.2479271,13.367769,0.6,3
-2.5607717,12.093852,-0.2,2
-0.409201,0.5375621,-4.9,0
0.71995014,-5.8106856,-6.3,0
-1.7374003,10.776055,-1.6,1
-3.0086467,1.3430496,0.6,3
-0.2943333,-4.995183,-8.8,0
1.7494255,-5.38271,-3.7,0
-2.2269373,-1.483741,-3.0,1
1.1733462,13.544852,2.3,3
-3.7886484,-1.6371287,-0.4,2
-2.3515592,13.740857,-0.3,2
0.19154999,-6.0691276,-5.8,0
-1.9725958,-1.5772651,-6.2,0
-2.7309465,-0.29992422,-3.2,1
1.8943841,-4.387388,-3.1,1
1.3086224,-4.4247966,-4.0,0
1.7027987,-4.9966187,-6.9,0
-3.301753,-1.8621738,-2.0,1
0.6061273,13.985196,0.5,3
2.1225328,4.842269,-1.0,2
-1.2968858,9.521913,-3.0,1
2.4685783,-5.6942325,-4.9,0
1.5503238,6.129701,-0.4,2
1.3830025,-4.9900894,-5.3,0
17.92482,8.512563,0.0,2
-0.9527706,8.056965,-2.7,1
17.980442,8.563743,0.0,2
-3.4379518,-2.4464521,-5.1,0
1.5563726,-3.5079436,-0.3,2
18.05424,8.426235,0.0,2
18.286001,8.548732,0.0,2
-3.3708487,6.6231847,-0.7,2
-3.1408157,0.5860987,-3.7,0
-0.041413717,-0.5365452,-10.5,0
-2.8318532,4.366879,-2.9,1
18.127708,8.554722,0.0,2
18.106174,8.349732,0.0,2
0.7458262,12.751487,1.4,3
0.078645214,15.493266,3.3,3
-2.797471,11.448001,-0.8,2
-2.2886915,10.790265,0.2,3
-0.37000218,13.5313835,0.1,3
0.8024152,8.060713,-4.3,0
-2.5781057,9.555478,0.0,2
-1.5619996,-0.09736611,-5.7,0
-3.663414,5.704122,-2.5,1
-3.195284,5.8753157,-1.5,1
1.4073669,10.616565,-1.9,1
-2.9245107,2.8234656,-5.9,0
0.09801604,10.173721,-1.5,1
-1.6602222,2.5685153,-2.6,1
-0.26810145,0.37478974,-3.9,0
-0.7839085,10.526183,-0.6,2
1.8955593,-6.9343004,-4.1,0
-1.5126461,7.847118,-2.3,1
-3.0359273,11.526071,0.8,3
-4.1902637,2.4082997,-1.9,1
-0.07284546,7.863379,-2.8,1
-3.0482635,-2.9961326,-3.5,0
-0.4681741,6.3314404,-2.0,1
-3.4406347,-1.9983062,-5.0,0
2.0185747,5.2889314,-3.8,0
-2.8945217,-1.0298759,-3.2,1
1.4067254,11.612264,-0.5,2
-0.089565836,-5.6725283,-8.0,0
-1.635214,13.026307,2.8,3
-0.70690334,6.4775834,-3.7,0
-2.9768853,4.548313,-3.0,1
-2.2320833,-1.7172183,-5.9,0
0.8048384,-6.380619,-6.7,0
-2.6931026,-2.4723542,-4.0,0
-1.0868554,6.7687774,-5.5,0
1.8880535,-5.686694,-3.4,1
-3.142495,-2.6579113,-3.9,0
-2.8660192,7.9483156,-0.1,2
-3.918501,-0.83021367,-1.9,1
-2.7634027,12.999076,-1.6,1
-1.4314644,-3.2500482,-4.0,0
-4.0246243,3.660759,-2.6,1
0.05493226,8.1778145,-4.5,0
-1.6678517,3.645018,-1.8,1
1.424539,11.397925,-1.3,2
2.0298479,5.2664733,0.1,3
-0.9174601,6.9428616,-2.1,1
-1.1777252,9.966986,0.7,3
17.954704,8.385683,0.0,2
