umap1,umap2,metric,quartile
0.33422604,7.8680654,-0.5,2
-1.5534713,10.831501,-0.9,2
-2.3986955,11.603113,-0.8,2
-2.5607717,12.093852,-0.2,2
-3.7886484,-1.6371287,-0.4,2
-2.3515592,13.740857,-0.3,2
2.1225328,4.842269,-1.0,2
1.5503238,6.129701,-0.4,2
17.92482,8.512563,0.0,2
17.980442,8.563743,0.0,2
1.5563726,-3.5079436,-0.3,2
18.05424,8.426235,0.0,2
18.286001,8.548732,0.0,2
-3.3708487,6.6231847,-0.7,2
18.127708,8.554722,0.0,2
18.106174,8.349732,0.0,2
-2.797471,11.448001,-0.8,2
-2.5781057,9.555478,0.0,2
-0.7839085,10.526183,-0.6,2
1.4067254,11.612264,-0.5,2
-2.8660192,7.9483156,-0.1,2
1.424539,11.397925,-1.3,2
17.954704,8.385683,0.0,2
17.79452,8.155009,0.0,2
-0.7112146,10.446555,-0.2,2
-0.59290445,9.73303,-0.2,2
-0.37844422,7.349243,-0.6,2
-0.12501726,9.697946,-1.1,2
-1.5055476,12.935559,0.0,2
17.967995,8.556954,0.0,2
17.935339,8.5122795,0.0,2
-4.20151,9.037175,-0.5,2
17.983837,8.561359,0.0,2
18.22155,8.724488,0.0,2
18.172684,8.61899,0.0,2
-3.7884572,-0.700964,-0.2,2
18.301771,8.478699,0.0,2
17.93654,8.406096,0.0,2
18.017159,8.345137,0.0,2
18.155697,8.350637,0.0,2
18.104345,8.705888,0.0,2
-0.37712115,13.288772,-0.9,2
-0.5205038,10.338017,-1.0,2
-3.0779474,8.67917,-0.9,2
1.2524741,11.932367,-0.3,2
0.3066809,7.7887483,-1.3,2
-2.37974,9.881376,-0.8,2
-3.15342,8.724615,-1.2,2
-2.1537201,11.853729,-0.7,2
-2.8610542,9.132673,-0.1,2
-2.8362744,9.975499,-0.9,2
1.5109445,12.222913,0.0,2
-3.8793056,7.30632,-0.8,2
18.288155,8.782496,0.0,2
-1.2485055,2.4498186,-0.7,2
18.052792,8.6554985,0.0,2
18.194635,8.571194,0.0,2
18.371204,8.598205,0.0,2
18.29623,8.210325,0.0,2
18.208767,8.313286,0.0,2
0.9705378,9.929609,-0.2,2
-2.165466,11.20829,-1.0,2
0.8371179,11.801277,-1.2,2
-0.36755335,11.771065,-0.3,2
-1.9678898,12.60147,-0.4,2
-0.4307217,10.319433,-0.4,2
-1.9713118,10.066183,-0.5,2
0.48244336,9.715731,-1.4,2
-2.3387053,10.117807,-0.9,2
18.287968,8.530975,0.0,2
1.4084959,6.356448,-0.3,2
18.047972,8.451409,0.0,2
18.203043,8.268161,0.0,2
18.23632,8.399885,0.0,2
18.039892,8.599334,0.0,2
18.23424,8.519478,0.0,2
-4.027439,9.454252,-0.2,2
18.372643,8.391038,0.0,2
17.960377,8.616877,0.0,2
18.504988,8.4474,0.0,2
18.255611,8.386957,0.0,2
18.396353,8.600933,0.0,2
-1.1408452,10.723003,-1.2,2
0.6356158,10.678856,-0.8,2
-4.882968,3.6727388,-1.0,2
-2.8935392,5.202892,-1.3,2
-0.75643694,13.859993,-0.2,2
18.15464,8.47491,0.0,2
18.393246,8.433649,0.0,2
-0.35887048,-7.08396,-1.2,2
-0.28813565,7.60644,-0.1,2
18.210121,8.276687,0.0,2
18.206078,8.607187,0.0,2
18.425825,8.649221,0.0,2
18.452902,8.4400215,0.0,2
-2.6049314,10.42376,0.0,2
18.079525,8.517762,0.0,2
18.217218,8.400317,0.0,2
-0.7600336,5.9772167,-0.5,2
18.371273,8.392436,0.0,2
1.5046732,12.082268,-0.1,2
1.0665011,12.065666,-0.8,2
0.083578065,7.6175804,-1.0,2
1.0669029,9.41458,0.0,2
-3.33009,11.784448,-0.4,2
-3.1464393,0.42938462,-0.8,2
0.6241733,9.028877,-0.6,2
18.115213,8.406609,0.0,2
18.068499,8.27675,0.0,2
-2.5392315,13.466774,-1.0,2
18.241335,8.604264,0.0,2
18.170582,8.421418,0.0,2
