umap1,umap2,metric,quartile
0.33422604,7.8680654,21.8,3
-1.5534713,10.831501,34.8,3
-0.9985074,12.336482,55.7,3
0.22161639,13.564063,88.7,3
-0.29570517,8.721807,22.5,3
-2.3986955,11.603113,24.6,3
-2.5100935,13.50083,26.7,3
-0.2582629,12.137405,55.3,3
-0.658222,15.21557,71.8,3
-0.3866888,15.37971,85.0,3
-2.4251838,12.675026,49.6,3
1.2479271,13.367769,89.5,3
-2.5607717,12.093852,45.0,3
-1.7374003,10.776055,24.2,3
1.1733462,13.544852,96.4,3
-2.3515592,13.740857,32.9,3
0.6061273,13.985196,89.7,3
0.7458262,12.751487,64.3,3
0.078645214,15.493266,145.5,3
-2.797471,11.448001,25.2,3
-2.2886915,10.790265,33.4,3
-0.37000218,13.5313835,47.8,3
1.4073669,10.616565,56.2,3
0.09801604,10.173721,35.8,3
-0.7839085,10.526183,33.3,3
-3.0359273,11.526071,33.4,3
1.4067254,11.612264,62.8,3
-1.635214,13.026307,59.6,3
-2.7634027,12.999076,27.4,3
1.424539,11.397925,59.6,3
-1.1777252,9.966986,40.4,3
0.1542708,12.34877,69.7,3
-1.3767805,14.742903,62.5,3
-0.7112146,10.446555,28.6,3
1.66073,12.582846,117.0,3
-0.6232413,13.624594,83.7,3
-0.59290445,9.73303,43.8,3
-0.37844422,7.349243,22.8,3
-1.9482174,14.05603,65.9,3
-3.1868784,12.205471,35.9,3
1.6966448,11.940531,86.9,3
-0.12501726,9.697946,32.1,3
-3.7965908,10.638764,25.6,3
-1.5055476,12.935559,44.7,3
-3.4951313,9.189177,27.2,3
1.2219117,14.251131,181.7,3
1.0539281,12.167336,89.7,3
0.4473405,12.403629,64.9,3
-0.37712115,13.288772,35.8,3
-0.5205038,10.338017,32.8,3
0.25889257,12.102608,40.2,3
-1.8647206,11.065672,33.9,3
1.2524741,11.932367,58.4,3
0.3066809,7.7887483,24.9,3
-0.2505423,12.934486,66.3,3
-2.37974,9.881376,29.5,3
-2.1537201,11.853729,30.7,3
-1.5241301,13.0293,55.7,3
-2.8610542,9.132673,24.1,3
-2.8362744,9.975499,27.7,3
-3.3250139,11.0525465,37.2,3
-0.19607821,14.084856,56.3,3
1.5109445,12.222913,89.8,3
-1.2806005,8.461339,22.0,3
-0.8748775,8.286732,28.4,3
1.0105025,13.533761,84.7,3
0.9705378,9.929609,40.7,3
-1.6901436,13.223142,61.9,3
-1.4721115,12.673736,43.7,3
-2.165466,11.20829,22.8,3
-1.2745013,10.354628,23.1,3
0.8371179,11.801277,47.0,3
-0.36755335,11.771065,38.8,3
-1.9678898,12.60147,32.9,3
-0.9883972,12.527524,55.3,3
-0.4307217,10.319433,32.3,3
-1.9713118,10.066183,37.7,3
0.48244336,9.715731,37.8,3
-0.53571486,15.199665,87.5,3
-2.3387053,10.117807,28.7,3
-0.86168855,15.12528,55.9,3
-1.3254352,10.628348,47.4,3
-0.18630038,12.511259,39.8,3
-0.025641361,15.479859,138.6,3
0.23372729,14.229302,99.9,3
0.7546792,12.209156,59.0,3
1.1902735,13.208063,59.4,3
0.6356158,10.678856,54.5,3
-0.24717243,13.49826,100.6,3
-0.75643694,13.859993,47.2,3
-2.5299172,9.97594,31.0,3
-2.580471,11.830132,40.0,3
-1.6701058,11.031295,44.0,3
-3.44877,11.629843,33.0,3
-0.28813565,7.60644,23.4,3
-2.6049314,10.42376,29.6,3
1.0279866,12.0457535,60.3,3
1.5046732,12.082268,69.8,3
-0.4588806,13.951459,52.4,3
1.0396382,13.552932,105.1,3
1.1031291,14.375856,191.4,3
-1.0652549,14.998947,55.4,3
1.0665011,12.065666,64.2,3
0.083578065,7.6175804,23.2,3
-0.46320763,9.40463,34.7,3
-2.267793,9.540001,23.2,3
-1.7729893,12.753761,70.5,3
-0.3927894,8.5626545,28.0,3
-3.2321608,11.805955,28.3,3
1.0669029,9.41458,47.9,3
0.21271715,13.969263,85.2,3
-3.33009,11.784448,30.9,3
0.6241733,9.028877,33.8,3
-2.5392315,13.466774,43.4,3
-3.792596,7.836163,27.6,3
-0.027803216,14.976245,99.0,3
1.5667467,12.222942,81.6,3
0.77099234,13.007904,71.2,3
-0.4374727,15.253782,77.5,3
0.5331441,14.632506,145.1,3
0.8432336,13.3877125,38.1,3
0.9890308,9.603586,30.5,3
-2.5684001,10.541633,44.8,3
1.4127599,11.104613,52.7,3
0.6410576,14.785025,172.7,3
-0.49337116,12.3990755,82.6,3
-0.180029,15.428593,129.7,3
1.4239215,12.205893,66.0,3
0.7312152,11.882446,66.3,3
-0.95905244,13.912949,62.3,3
0.7467069,8.3201275,37.9,3
0.63526887,8.040473,23.1,3
-3.4507377,11.492355,23.1,3
-0.2918651,8.81031,26.5,3
-2.0308638,9.6403,23.6,3
1.1450582,14.295141,206.4,3
-0.75783545,10.787758,41.7,3
-0.46979433,15.101428,120.8,3
-2.8021514,12.817173,47.0,3
