umap1,umap2,metric,quartile
0.33422604,7.8680654,0.09,2
-1.5534713,10.831501,0.092,2
-0.9985074,12.336482,0.109,3
0.22161639,13.564063,0.122,3
-0.29570517,8.721807,0.07,2
-1.4402204,6.6404247,0.071,2
-2.3986955,11.603113,0.068,2
-1.6888102,5.69719,0.017,1
0.7965984,7.6411004,0.068,2
-2.5100935,13.50083,0.066,2
-0.2582629,12.137405,0.106,3
-0.658222,15.21557,0.111,3
-3.179559,-2.5872395,0.049,1
-0.3866888,15.37971,0.133,3
-3.8872373,3.3233361,0.063,2
-2.4251838,12.675026,0.122,3
1.2479271,13.367769,0.147,3
-2.5607717,12.093852,0.121,3
-0.409201,0.5375621,-0.005,0
0.71995014,-5.8106856,-0.008,0
-1.7374003,10.776055,0.063,2
-3.0086467,1.3430496,0.121,3
-0.2943333,-4.995183,-0.122,0
1.7494255,-5.38271,0.033,1
-2.2269373,-1.483741,0.013,1
1.1733462,13.544852,0.137,3
-3.7886484,-1.6371287,0.098,3
-2.3515592,13.740857,0.075,2
0.19154999,-6.0691276,-0.015,0
-1.9725958,-1.5772651,-0.004,0
-2.7309465,-0.29992422,0.038,1
1.8943841,-4.387388,0.057,1
1.3086224,-4.4247966,0.022,1
1.7027987,-4.9966187,0.029,1
-3.301753,-1.8621738,0.037,1
0.6061273,13.985196,0.101,3
2.1225328,4.842269,0.142,3
-1.2968858,9.521913,0.051,1
2.4685783,-5.6942325,0.05,1
1.5503238,6.129701,0.094,2
1.3830025,-4.9900894,0.052,1
17.92482,8.512563,0.0,0
-0.9527706,8.056965,0.076,2
17.980442,8.563743,0.0,0
-3.4379518,-2.4464521,-0.012,0
1.5563726,-3.5079436,0.088,2
18.05424,8.426235,0.0,0
18.286001,8.548732,0.0,0
-3.3708487,6.6231847,0.071,2
-3.1408157,0.5860987,0.027,1
-0.041413717,-0.5365452,-0.106,0
-2.8318532,4.366879,0.023,1
18.127708,8.554722,0.0,0
18.106174,8.349732,0.0,0
0.7458262,12.751487,0.119,3
0.078645214,15.493266,0.148,3
-2.797471,11.448001,0.077,2
-2.2886915,10.790265,0.089,2
-0.37000218,13.5313835,0.078,2
0.8024152,8.060713,0.081,2
-2.5781057,9.555478,0.06,1
-1.5619996,-0.09736611,0.004,1
-3.663414,5.704122,0.065,2
-3.195284,5.8753157,0.041,1
1.4073669,10.616565,0.12,3
-2.9245107,2.8234656,0.033,1
0.09801604,10.173721,0.101,3
-1.6602222,2.5685153,0.039,1
-0.26810145,0.37478974,0.018,1
-0.7839085,10.526183,0.097,2
1.8955593,-6.9343004,0.043,1
-1.5126461,7.847118,0.081,2
-3.0359273,11.526071,0.095,2
-4.1902637,2.4082997,0.025,1
-0.07284546,7.863379,0.098,3
-3.0482635,-2.9961326,0.032,1
-0.4681741,6.3314404,0.07,2
-3.4406347,-1.9983062,0.024,1
2.0185747,5.2889314,0.072,2
-2.8945217,-1.0298759,0.031,1
1.4067254,11.612264,0.117,3
-0.089565836,-5.6725283,0.031,1
-1.635214,13.026307,0.129,3
-0.70690334,6.4775834,0.054,1
-2.9768853,4.548313,0.044,1
-2.2320833,-1.7172183,-0.02,0
0.8048384,-6.380619,-0.013,0
-2.6931026,-2.4723542,0.017,1
-1.0868554,6.7687774,0.033,1
1.8880535,-5.686694,0.023,1
-3.142495,-2.6579113,0.017,1
-2.8660192,7.9483156,0.094,2
-3.918501,-0.83021367,0.153,3
-2.7634027,12.999076,0.065,2
-1.4314644,-3.2500482,-0.02,0
-4.0246243,3.660759,0.042,1
0.05493226,8.1778145,0.061,2
-1.6678517,3.645018,0.079,2
1.424539,11.397925,0.11,3
2.0298479,5.2664733,0.122,3
-0.9174601,6.9428616,0.104,3
-1.1777252,9.966986,0.132,3
17.954704,8.385683,0.0,0
0.38869438,-6.0397134,-0.028,0
-3.3527977,6.561036,0.044,1
0.48087794,-4.5930495,-0.104,0
17.79452,8.155009,0.0,0
-2.6831594,3.378858,0.006,1
0.1542708,12.34877,0.13,3
