umap1,umap2,metric,quartile
-0.409201,0.5375621,-0.005,0
0.71995014,-5.8106856,-0.008,0
-0.2943333,-4.995183,-0.122,0
0.19154999,-6.0691276,-0.015,0
-1.9725958,-1.5772651,-0.004,0
17.92482,8.512563,0.0,0
17.980442,8.563743,0.0,0
-3.4379518,-2.4464521,-0.012,0
18.05424,8.426235,0.0,0
18.286001,8.548732,0.0,0
-0.041413717,-0.5365452,-0.106,0
18.127708,8.554722,0.0,0
18.106174,8.349732,0.0,0
-2.2320833,-1.7172183,-0.02,0
0.8048384,-6.380619,-0.013,0
-1.4314644,-3.2500482,-0.02,0
17.954704,8.385683,0.0,0
0.38869438,-6.0397134,-0.028,0
0.48087794,-4.5930495,-0.104,0
17.79452,8.155009,0.0,0
-3.2679536,3.7368803,0.001,0
-2.7619052,-2.510468,-0.004,0
1.484574,-5.1506615,-0.021,0
17.967995,8.556954,0.0,0
17.935339,8.5122795,0.0,0
0.017796401,-1.1002628,-0.035,0
17.983837,8.561359,0.0,0
-2.1876645,-1.4508888,-0.095,0
18.22155,8.724488,0.0,0
-1.450302,-2.9471257,-0.142,0
18.172684,8.61899,0.0,0
18.301771,8.478699,0.0,0
17.93654,8.406096,0.0,0
18.017159,8.345137,0.0,0
18.155697,8.350637,0.0,0
18.104345,8.705888,0.0,0
2.8100486,-6.323728,0.001,0
-1.8598506,-2.2447188,-0.032,0
-2.2194102,-1.9032651,-0.032,0
1.542237,-6.638505,-0.022,0
-0.66859204,-1.187604,-0.095,0
18.288155,8.782496,0.0,0
18.052792,8.6554985,0.0,0
-0.9290617,-0.33973536,0.0,0
18.194635,8.571194,0.0,0
18.371204,8.598205,0.0,0
-0.24294253,-4.683474,-0.126,0
18.29623,8.210325,0.0,0
18.208767,8.313286,0.0,0
-2.8364253,4.367898,-0.014,0
0.044377197,-6.5181713,-0.064,0
18.287968,8.530975,0.0,0
-0.546623,-3.9716604,-0.153,0
-0.77615297,-2.8359299,-0.02,0
0.29467827,-4.8613515,-0.077,0
18.047972,8.451409,0.0,0
18.203043,8.268161,0.0,0
18.23632,8.399885,0.0,0
-2.0755181,1.1123397,-0.028,0
18.039892,8.599334,0.0,0
-0.92044204,-2.7299,-0.015,0
18.23424,8.519478,0.0,0
-1.8991108,1.6460812,-0.014,0
1.3501432,-5.0643573,-0.016,0
18.372643,8.391038,0.0,0
17.960377,8.616877,0.0,0
18.504988,8.4474,0.0,0
18.255611,8.386957,0.0,0
18.396353,8.600933,0.0,0
0.85339546,-5.6650567,-0.033,0
-0.97970706,-0.07793694,-0.039,0
18.15464,8.47491,0.0,0
18.393246,8.433649,0.0,0
18.210121,8.276687,0.0,0
0.10401692,-2.7464738,-0.03,0
18.206078,8.607187,0.0,0
18.425825,8.649221,0.0,0
18.452902,8.4400215,0.0,0
18.079525,8.517762,0.0,0
18.217218,8.400317,0.0,0
1.726828,-3.6065717,-0.179,0
18.371273,8.392436,0.0,0
-0.12936454,-0.8409198,-0.026,0
-1.2313174,-1.8714904,-0.001,0
0.58140177,-6.8050237,-0.016,0
-0.95383203,-0.810827,-0.021,0
0.48196074,-6.103077,-0.018,0
-3.3671849,-2.397539,0.001,0
-2.8545928,-0.12832136,0.001,0
18.115213,8.406609,0.0,0
18.068499,8.27675,0.0,0
-1.2146846,-2.5342057,-0.064,0
18.241335,8.604264,0.0,0
18.170582,8.421418,0.0,0
17.962326,8.501362,0.0,0
18.229492,8.333929,0.0,0
18.005863,8.531056,0.0,0
18.026514,8.26061,0.0,0
14.921962,5.326753,-0.638,0
0.069086194,-2.6245623,-0.151,0
0.23171721,-2.8297396,-0.175,0
2.0107048,-5.5375977,-0.074,0
18.474525,8.504179,0.0,0
18.643126,8.325081,0.0,0
18.586311,8.389995,0.0,0
18.557905,8.4034195,0.0,0
18.731798,8.161742,0.0,0
18.432507,8.608467,0.0,0
-2.2932913,-0.44536301,-0.014,0
18.502699,8.392958,0.0,0
18.697588,8.318481,0.0,0
18.725956,8.406886,0.0,0
-1.8684664,0.5789443,-0.003,0
18.632982,8.420147,0.0,0
18.54802,8.481132,0.0,0
1.4582752,-4.46258,-0.043,0
-1.646662,-2.3700228,-0.064,0
-0.6294215,-4.1356406,-0.08,0
18.561956,8.497111,0.0,0
18.694637,8.337088,0.0,0
18.60938,8.638629,0.0,0
18.378073,8.277569,0.0,0
-0.005428336,-6.5001125,-0.049,0
18.645931,8.561902,0.0,0
18.557127,8.093558,0.0,0
18.68557,8.4244795,0.0,0
18.396795,7.9898186,0.0,0
18.610634,8.187494,0.0,0
18.298767,8.101322,0.0,0
0.3416276,-5.798405,-0.019,0
-2.8925798,-0.2759505,-0.019,0
-1.5866526,-2.4154105,-0.062,0
0.7184181,-3.4745083,-0.498,0
1.2172372,-3.374057,-0.091,0
0.74635935,-3.4056554,-0.289,0
-1.241263,-2.6058109,-0.089,0
18.432726,8.160599,0.0,0
18.711252,8.200798,0.0,0
-1.8892834,0.92078936,-0.025,0
-0.16147833,-5.439506,-0.13,0
-1.0432345,-1.4971135,-0.034,0
18.446577,8.297751,0.0,0
-0.96007234,-0.52368593,-0.003,0
0.02885107,-1.3049158,-0.038,0
18.610401,8.269633,0.0,0
0.7936912,-3.436281,-0.129,0
18.391579,7.9575286,0.0,0
18.67855,8.149608,0.0,0
-0.287888,-7.0589776,-0.022,0
18.73506,8.210541,0.0,0
18.55357,8.145131,0.0,0
0.66930646,-6.278447,-0.015,0
18.567762,8.266467,0.0,0
18.509962,8.080909,0.0,0
18.628527,8.1570835,0.0,0
18.509165,8.0328245,0.0,0
18.63643,8.242354,0.0,0
18.620468,7.927682,0.0,0
-1.9899648,-0.26544964,-0.021,0
0.51004416,-5.471988,-0.043,0
-1.3851445,-2.7298884,-0.033,0
-0.1765443,-1.1790469,-0.025,0
18.264101,7.961042,0.0,0
18.727142,7.879709,0.0,0
18.481749,8.100933,0.0,0
18.468756,7.9289083,0.0,0
-0.010251453,-4.247573,-0.349,0
18.559437,8.1298685,0.0,0
18.468868,7.7514124,0.0,0
18.740416,8.009714,0.0,0
18.624008,7.9385037,0.0,0
-0.2608828,-4.7000847,-0.197,0
-0.31598082,-6.532747,-0.166,0
-1.6192992,-0.3420277,-0.039,0
0.3507392,-4.838825,-0.021,0
-1.6955767,-0.26769757,0.0,0
-1.5179482,1.4697701,-0.038,0
-0.9575997,-1.0731788,-0.1,0
18.286024,8.301435,0.0,0
-0.6884998,-2.7125983,-0.001,0
18.370758,7.9117723,0.0,0
18.577667,8.10825,0.0,0
18.35258,8.085663,0.0,0
1.0492986,-4.5092063,-0.002,0
18.491482,8.115621,0.0,0
-0.9835951,-1.7106416,-0.051,0
18.466946,7.9748473,0.0,0
18.639723,7.832696,0.0,0
18.578444,7.952612,0.0,0
-1.0468775,-1.5383765,-0.039,0
-1.2520765,1.2629827,0.0,0
0.3249347,-5.1699095,-0.027,0
-1.7186596,0.96560544,-0.03,0
18.49276,8.212129,0.0,0
0.019689053,-4.5678945,-0.004,0
18.345865,7.8601933,0.0,0
-0.38737297,-4.951542,-0.011,0
18.226715,7.648991,0.0,0
18.145903,7.843866,0.0,0
18.384195,7.889795,0.0,0
2.0863934,-3.7544143,-0.032,0
18.381157,8.0240965,0.0,0
18.255108,7.7362924,0.0,0
18.458647,7.8469768,0.0,0
-1.7427579,-1.7626613,-0.029,0
18.344889,8.205785,0.0,0
-1.3156251,-1.9494853,-0.049,0
-0.5518679,-6.9483957,-0.326,0
-2.2060843,-1.2658018,-0.014,0
1.2762885,-3.4129736,-0.117,0
18.499367,7.9115386,0.0,0
18.262491,7.6662126,0.0,0
18.43792,7.7296877,0.0,0
14.928603,5.3289185,-0.371,0
18.123344,7.616901,0.0,0
18.377155,7.7110076,0.0,0
18.235538,7.9023824,0.0,0
18.410406,7.761971,0.0,0
18.05683,7.621753,0.0,0
18.197508,7.845857,0.0,0
17.644434,7.8030915,0.0,0
18.085428,8.013084,0.0,0
1.7900296,-4.8717027,-0.143,0
-2.5636065,-1.1080304,-0.013,0
-0.35463938,-4.6416717,-0.163,0
-0.7459811,-1.4115361,-0.025,0
1.0225141,-5.71138,0.001,0
2.1021943,-4.75634,-0.108,0
-1.2726215,-1.940275,-0.025,0
18.291134,7.630501,0.0,0
18.099438,7.7719464,0.0,0
18.055262,7.7979155,0.0,0
18.166498,8.114331,0.0,0
2.2839956,-4.785429,-0.029,0
17.923805,8.0756855,0.0,0
18.206232,7.7117233,0.0,0
-0.7485424,-2.2259798,-0.01,0
18.17991,7.8653655,0.0,0
18.212967,7.7624054,0.0,0
-0.81339103,-2.0251148,-0.047,0
17.896214,7.8822756,0.0,0
-1.0623937,2.0711339,-0.02,0
18.048214,7.6965485,0.0,0
18.12326,7.673436,0.0,0
17.966078,7.7031155,0.0,0
18.037447,8.184758,0.0,0
17.989931,7.977575,0.0,0
-1.062716,-2.0082035,-0.024,0
18.361652,7.828241,0.0,0
-2.4420645,-2.3530958,-0.007,0
14.629162,5.030457,-1.264,0
17.979916,7.738844,0.0,0
18.06462,7.7562003,0.0,0
-2.33213,-1.9388561,-0.022,0
18.1608,7.655447,0.0,0
-1.9066511,-0.99630904,-0.043,0
-2.5509796,3.0577042,-0.021,0
-0.4259937,0.69232154,0.0,0
-2.5750408,3.980241,-0.001,0
-1.5392699,-1.9773006,-0.089,0
-3.0576391,-0.033955056,-0.027,0
17.723907,8.072246,0.0,0
17.999735,7.787862,0.0,0
17.985504,7.7016115,0.0,0
-0.19079994,-4.5396247,-0.056,0
18.315462,7.7681885,0.0,0
17.963518,7.845665,0.0,0
17.70646,8.084772,0.0,0
17.700413,8.089382,0.0,0
17.947838,7.726584,0.0,0
-1.6474268,0.80709064,-0.07,0
0.36271572,-1.1457742,-0.032,0
18.021828,7.9037943,0.0,0
1.1499925,-3.3607075,-0.084,0
1.261317,-5.7738986,0.0,0
17.968082,7.8566003,0.0,0
1.0081065,-3.3268154,-0.226,0
17.739515,7.9632983,0.0,0
17.735088,8.252273,0.0,0
17.710236,8.13194,0.0,0
18.048292,7.9713387,0.0,0
14.986607,5.38778,0.0,0
0.12728463,-1.4760253,-0.066,0
-0.8727976,-2.95234,-0.203,0
17.687351,7.963802,0.0,0
17.617538,8.038813,0.0,0
17.911865,7.783519,0.0,0
17.869585,7.9780154,0.0,0
-0.91802293,-2.7363448,-0.031,0
17.637367,8.097084,0.0,0
1.4007856,-3.4251235,-0.131,0
-4.079941,2.4767663,0.001,0
-0.45521656,-4.8409305,-0.158,0
17.795156,7.791833,0.0,0
17.669716,7.8689604,0.0,0
18.01926,7.8746443,0.0,0
17.871695,7.962274,0.0,0
17.653912,8.087883,0.0,0
17.736156,7.9479036,0.0,0
17.945604,7.9344645,0.0,0
-2.1182885,0.2759794,-0.028,0
17.630587,8.179101,0.0,0
17.461636,8.15259,0.0,0
-2.0854292,3.8141503,-0.015,0
-3.2672622,2.447892,-0.004,0
-2.4627638,-0.95825636,-0.02,0
17.888882,8.471199,0.0,0
-1.7251933,0.8034336,-0.008,0
18.133352,7.9648857,0.0,0
0.9643418,-4.9897175,-0.039,0
18.014326,7.7477255,0.0,0
17.694225,8.169078,0.0,0
17.848385,7.9517856,0.0,0
17.52022,8.280524,0.0,0
17.725428,8.103994,0.0,0
17.986656,8.188997,0.0,0
17.71844,8.1633625,0.0,0
17.815842,7.8303795,0.0,0
-0.82845557,-2.8621356,-0.089,0
0.8473419,-6.3825216,-0.001,0
0.14507003,-6.9465995,-0.041,0
-2.3825538,1.3419781,-0.015,0
17.580477,8.059846,0.0,0
0.6435992,-3.5212672,-0.225,0
-2.251,-1.0226321,-0.314,0
17.747368,8.404626,0.0,0
17.635683,8.530842,0.0,0
14.912122,5.3128686,-0.009,0
17.513496,8.320864,0.0,0
17.986048,8.073617,0.0,0
17.792433,8.240938,0.0,0
17.477577,8.274513,0.0,0
-0.33554214,-7.030824,-0.047,0
17.756481,7.640189,0.0,0
17.622013,8.314701,0.0,0
-1.5054184,-1.2032384,-0.047,0
-0.5089491,-2.7558143,-0.093,0
-0.9193018,-2.254211,-0.049,0
-2.7721198,0.04566996,-0.01,0
14.71694,5.1183906,-0.005,0
-1.4463898,-2.8481443,-0.113,0
17.965078,8.164997,0.0,0
17.735004,8.463662,0.0,0
17.737642,8.263914,0.0,0
17.711586,8.376823,0.0,0
17.691284,8.026382,0.0,0
17.869158,8.653009,0.0,0
14.7547655,5.154345,-0.121,0
-4.0160637,1.9726611,-0.021,0
-1.496595,-2.0823436,-0.045,0
-0.9769086,-0.55377924,-0.003,0
-1.4443462,0.7054837,-0.088,0
0.37534648,-2.9220088,-0.272,0
17.783749,7.8998857,0.0,0
-0.41022924,-4.8173475,-0.127,0
-4.07902,-2.0267427,-0.032,0
14.5875435,4.9879537,-0.597,0
17.627562,8.396445,0.0,0
17.67193,8.382474,0.0,0
17.558743,8.25186,0.0,0
17.992735,8.4344225,0.0,0
-0.0687961,-1.7380332,-0.132,0
-0.8118237,-1.8758672,-0.065,0
-0.52098024,-7.0218616,-0.128,0
-0.9605461,2.0756845,-0.006,0
-0.68749607,0.9195525,-0.096,0
17.832432,8.319327,0.0,0
0.7779571,-3.3082013,-0.055,0
18.103014,8.215476,0.0,0
-2.134266,-2.4328182,-0.007,0
17.69159,8.558903,0.0,0
17.670189,8.294544,0.0,0
-0.5861646,-1.1305162,-0.032,0
18.205498,7.9240685,0.0,0
17.537794,8.169471,0.0,0
17.957138,8.424508,0.0,0
17.774288,8.364635,0.0,0
-2.4530919,-1.1146239,-0.019,0
0.1881889,-1.0173914,-0.024,0
-0.5829755,-1.3109765,-0.039,0
17.82861,8.557939,0.0,0
-1.212587,-1.928396,-0.02,0
-0.8263625,-2.1975157,-0.068,0
-0.16343836,-1.7415035,-0.021,0
17.68106,8.575724,0.0,0
18.189007,8.776803,0.0,0
17.852848,8.578524,0.0,0
17.798252,8.518115,0.0,0
-0.6509278,-2.8337286,-0.028,0
17.787233,8.54896,0.0,0
17.748215,8.397464,0.0,0
-3.1321778,6.171512,-0.001,0
-1.2247211,-0.46443254,-0.017,0
17.641447,8.470999,0.0,0
0.1216216,-0.4593522,-0.016,0
17.922045,8.41535,0.0,0
17.889729,8.433999,0.0,0
17.745262,8.776227,0.0,0
17.928564,8.583192,0.0,0
17.939707,8.823039,0.0,0
17.809872,8.741475,0.0,0
17.67206,8.469239,0.0,0
17.914951,8.62267,0.0,0
17.949854,8.810141,0.0,0
17.846983,8.332961,0.0,0
18.133682,8.433729,0.0,0
18.510832,7.8304753,0.0,0
17.401016,8.238078,0.0,0
17.61164,7.8415904,0.0,0
18.317745,8.770044,0.0,0
-0.42947203,-1.2235116,-0.028,0
-0.3439977,-0.04536072,-0.009,0
17.964016,7.7635565,0.0,0
18.226189,8.678473,0.0,0
-0.53810674,-6.962542,-0.211,0
-0.10090976,-5.4130673,-0.005,0
-1.3047049,0.55695945,-0.025,0
-0.56845313,-4.380018,-0.093,0
18.274809,8.552831,0.0,0
-2.1541483,1.3254331,-0.001,0
-0.98033726,1.069074,-0.001,0
-0.57808053,-6.7655954,-0.136,0
14.748085,5.149102,-0.473,0
-1.544693,-2.9626217,-0.015,0
-0.71229446,-0.9576567,-0.041,0
0.44266945,-0.8361007,-0.006,0
-2.1006258,-0.3124973,0.0,0
18.421064,8.512409,0.0,0
18.26167,8.898186,0.0,0
-4.0513144,5.3739552,-0.012,0
-2.9949791,5.0918202,-0.005,0
-3.7137585,-2.3093116,-0.015,0
-0.3648014,-1.0771266,-0.022,0
18.37518,8.75936,0.0,0
18.170439,8.850698,0.0,0
18.536505,8.869322,0.0,0
18.188255,8.3815565,0.0,0
-3.236836,3.2813604,-0.004,0
-1.3400084,-0.17181338,-0.003,0
0.044190075,0.17885846,-0.047,0
-1.2994124,-2.6156366,-0.062,0
18.236712,8.900202,0.0,0
18.524801,8.762531,0.0,0
18.559198,8.923361,0.0,0
0.25334197,-2.8608077,-0.014,0
-0.8653776,-2.8088758,-0.116,0
14.814328,5.2166643,-0.217,0
0.56472015,-3.0535588,-0.085,0
-0.31294408,-4.69653,-0.225,0
0.6710043,-4.7282085,-0.098,0
-2.6775033,-0.738853,-0.002,0
-2.0819695,-1.1096561,-0.013,0
0.3059678,-0.040018238,-0.034,0
-1.3986051,-1.8660909,-0.032,0
-1.067468,-2.33096,-0.008,0
-0.71830946,-0.67349005,-0.13,0
18.239012,8.907038,0.0,0
17.833633,8.752566,0.0,0
-1.6809618,0.9572397,-0.013,0
-1.6768516,-0.31625798,-0.032,0
0.71742773,-4.567425,-0.035,0
-1.6494344,1.9218956,-0.009,0
-1.2992564,-1.9954208,-0.033,0
